"movieid","titre","summary","certificat","duration","poster","directors","writers","stars"
175743,Selbstkritik eines bürgerlichen Hundes,"A bourgeois dog and former filmmaker confesses how he became four-legged by failing in love, apple-picking and revolution. A political comedy with magic twists.",Not Rated,"1h 39m",https://m.media-amazon.com/images/M/MV5BZjkyYWZlYTQtNjI5Zi00M2Y5LTg4Y2ItNWJjYzkyMjEzNjcyL2ltYWdlXkEyXkFqcGdeQXVyMjY0MTk3NjE@._V1_FMjpg_UX640_.jpg,Julian Radlmaier,Julian Radlmaier,Julian Radlmaier|Deragh Campbell|Beniamin Forthi
26308,Turkish délices,An aimless young artist learns to face his responsibilities when a former lover develops a terminal illness.,"16","1h 48m",https://m.media-amazon.com/images/M/MV5BMGUxNDVjYTctMTYzZi00MWYxLTk4ZDEtNWU5MDhiMTI5NTlmL2ltYWdlXkEyXkFqcGdeQXVyMzEzNzgzNA@@._V1_FMjpg_UX1280_.jpg,Paul Verhoeven,Gerard Soeteman|Jan Wolkers,Monique van de Ven|Rutger Hauer|Tonny Huurdeman
4649,Wet Hot American Summer,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",R,"1h 37m",https://m.media-amazon.com/images/M/MV5BMzFlNjQ5MTItY2VkYi00ZjUwLWE5NGQtNTk2ODE0MWJhMTBkXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UX774_.jpg,David Wain,Michael Showalter|David Wain,Janeane Garofalo|David Hyde Pierce|Michael Showalter
4219,Girls Just Want to Have Fun,"Janey is new in town and soon meets Lynne, who shares her passion for dancing in general and ""Dance TV"" in particular.",Tous publics,"1h 30m",https://m.media-amazon.com/images/M/MV5BOGE0ZjU1YmUtZjQyMS00ZDRjLTk4ZjgtNGIyOTQ0MzkzNzdlXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_FMjpg_UX450_.jpg,Alan Metter,Amy Spies,Biff Yeager|Kristi Somers|Richard Blade
6852,De sang-froid,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.","12","2h 14m",https://m.media-amazon.com/images/M/MV5BZmU2MjU4YTQtODExMS00MzJiLTgyNWQtZTM2M2I1MmI3YzA0XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_FMjpg_UX1217_.jpg,Richard Brooks,Truman Capote|Richard Brooks,Robert Blake|Scott Wilson|John Forsythe
89072,Stake Land,"In a world of vampires, an expert vampire hunter and his young protégé travel toward sanctuary.",R,"1h 38m",https://m.media-amazon.com/images/M/MV5BMTk4MTI1NzgwNF5BMl5BanBnXkFtZTcwOTgxNzM5NA@@._V1_FMjpg_UX1280_.jpg,Jim Mickle,Nick Damici|Jim Mickle,Connor Paolo|Nick Damici|Kelly McGillis
51314,Golden Door,A Sicilian peasant begins the journey to the promised land and meets a beautiful Englishwoman. But neither is prepared for the harsh realities of Ellis Island. Can they make it through the golden door to the America of their dreams?,Tous publics,"1h 58m",https://m.media-amazon.com/images/M/MV5BNTg5ZDUwZjgtZmQ5Mi00NmY0LTg4OGEtZjU4MzE2MmFjMmNlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_FMjpg_UX1200_.jpg,Emanuele Crialese,Emanuele Crialese,Charlotte Gainsbourg|Vincenzo Amato|Vincent Schiavelli
30820,The Woodsman,A child molester returns to his hometown after 12 years in prison and attempts to start a new life.,R,"1h 27m",https://m.media-amazon.com/images/M/MV5BODk0NTg3MDE1M15BMl5BanBnXkFtZTYwNjc2Mzg1._V1_FMjpg_UX258_.jpg,Nicole Kassell,Steven Fechter|Nicole Kassell,Kevin Bacon|Kyra Sedgwick|Yasiin Bey
4451,Mariage et conséquences,"A young Nigerian man on the verge of being in an arranged marriage, suddenly questions his situation after an encounter with a stunning Latin woman, who is also about to be married.",Tous publics,"1h 37m",https://m.media-amazon.com/images/M/MV5BMTY2MTQzNDkwMF5BMl5BanBnXkFtZTcwMjIwMzYxMQ@@._V1_FMjpg_UX332_.jpg,Joel Hopkins,Joel Hopkins|Iain Tibbles,Tunde Adebimpe|Hippolyte Girardot|Raul A. Reyes
168250,Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","12","1h 44m",https://m.media-amazon.com/images/M/MV5BNGRmN2Q2MTctN2Q3Mi00YWE4LWFkZGUtZDU0YzMzYzliYWYyXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY720_.jpg,Jordan Peele,Jordan Peele,Daniel Kaluuya|Allison Williams|Bradley Whitford
